species,class,order,maximum_lifespan_yr,mass_g,volancy,fossoriallity,foraging_environment,daily_activity
Charadrius_semipalmatus,Aves,Charadriiformes,9.2,52,volant,nonfossorial,terrestrial,cathemeral
Charadrius_vociferus,Aves,Charadriiformes,10.9,88,volant,nonfossorial,terrestrial,cathemeral
Pluvialis_squatarola,Aves,Charadriiformes,25.6,224,volant,nonfossorial,terrestrial,cathemeral
Vanellus_vanellus,Aves,Charadriiformes,24.5,218.5,volant,nonfossorial,terrestrial,cathemeral
Haematopus_ostralegus,Aves,Charadriiformes,43.3,480,volant,nonfossorial,terrestrial,cathemeral
Larus_ridibundus,Aves,Charadriiformes,32.9,306,volant,nonfossorial,aquatic,cathemeral
Larus_audouinii,Aves,Charadriiformes,20.9,535,volant,nonfossorial,aquatic,cathemeral
Larus_argentatus,Aves,Charadriiformes,49,1094,volant,nonfossorial,terrestrial,cathemeral
Larus_canus,Aves,Charadriiformes,33.7,430.6,volant,nonfossorial,terrestrial,diurnal
Calidris_canutus,Aves,Charadriiformes,27.3,135,volant,nonfossorial,terrestrial,cathemeral
Calidris_ferruginea,Aves,Charadriiformes,19.7,58.1,volant,nonfossorial,terrestrial,cathemeral
Calidris_maritima,Aves,Charadriiformes,20.8,65.2,volant,nonfossorial,terrestrial,diurnal
Calidris_minuta,Aves,Charadriiformes,14.7,21.1,volant,nonfossorial,terrestrial,diurnal
Calidris_minutilla,Aves,Charadriiformes,16,26,volant,nonfossorial,terrestrial,cathemeral
Gallinago_gallinago,Aves,Charadriiformes,18.2,131.6,volant,nonfossorial,terrestrial,crepuscular
Limnodromus_griseus,Aves,Charadriiformes,13.3,105,volant,nonfossorial,terrestrial,cathemeral
Limosa_lapponica,Aves,Charadriiformes,34,322,volant,nonfossorial,terrestrial,cathemeral
Limosa_limosa,Aves,Charadriiformes,23.6,294,volant,nonfossorial,terrestrial,diurnal
Lymnocryptes_minimus,Aves,Charadriiformes,12.3,50.2,volant,nonfossorial,terrestrial,nocturnal
Numenius_arquata,Aves,Charadriiformes,31.8,728,volant,nonfossorial,terrestrial,cathemeral
Numenius_phaeopus,Aves,Charadriiformes,24.2,365.7,volant,nonfossorial,terrestrial,diurnal
Philomachus_pugnax,Aves,Charadriiformes,13.9,136,volant,nonfossorial,terrestrial,cathemeral
Scolopax_rusticola,Aves,Charadriiformes,15.5,308.3,volant,nonfossorial,terrestrial,nocturnal
Tringa_erythropus,Aves,Charadriiformes,8.6,158,volant,nonfossorial,aquatic,cathemeral
Tringa_nebularia,Aves,Charadriiformes,24.4,187,volant,nonfossorial,terrestrial,cathemeral
Catoptrophorus_semipalmatus,Aves,Charadriiformes,12.6,270,volant,nonfossorial,terrestrial,cathemeral
Tringa_totanus,Aves,Charadriiformes,26.9,149,volant,nonfossorial,terrestrial,cathemeral
Catharacta_antarctica,Aves,Charadriiformes,28.8,1687,volant,nonfossorial,terrestrial,nocturnal
Catharacta_skua,Aves,Charadriiformes,34.5,1340,volant,nonfossorial,aquatic,diurnal
Ciconia_abdimii,Aves,Ciconiiformes,21.6,1398,volant,nonfossorial,terrestrial,diurnal
Ciconia_boyciana,Aves,Ciconiiformes,48.1,4850.5,volant,nonfossorial,terrestrial,diurnal
Ciconia_ciconia,Aves,Ciconiiformes,39,3350,volant,nonfossorial,terrestrial,diurnal
Ciconia_episcopus,Aves,Ciconiiformes,30.2,2061,volant,nonfossorial,terrestrial,diurnal
Ciconia_maguari,Aves,Ciconiiformes,20.4,4000,volant,nonfossorial,aquatic,diurnal
Ciconia_nigra,Aves,Ciconiiformes,31.3,2926,volant,nonfossorial,aquatic,diurnal
Ephippiorhynchus_asiaticus,Aves,Ciconiiformes,34,4100,volant,nonfossorial,aquatic,diurnal
Ephippiorhynchus_senegalensis,Aves,Ciconiiformes,30.2,6162.5,volant,nonfossorial,aquatic,diurnal
Jabiru_mycteria,Aves,Ciconiiformes,27.4,5470,volant,nonfossorial,aquatic,diurnal
Leptoptilos_crumeniferus,Aves,Ciconiiformes,44.7,8000,volant,nonfossorial,terrestrial,diurnal
Leptoptilos_javanicus,Aves,Ciconiiformes,31.1,5710,volant,nonfossorial,aquatic,diurnal
Mycteria_americana,Aves,Ciconiiformes,27,2500,volant,nonfossorial,aquatic,diurnal
Mycteria_ibis,Aves,Ciconiiformes,19.1,2166.5,volant,nonfossorial,aquatic,diurnal
Mycteria_leucocephala,Aves,Ciconiiformes,28.6,3180,volant,nonfossorial,aquatic,diurnal
Colius_striatus,Aves,Coliiformes,11.5,51,volant,nonfossorial,semiarboreal,diurnal
Caloenas_nicobarica,Aves,Columbiformes,20.5,519,volant,nonfossorial,terrestrial,crepuscular
Columba_livia,Aves,Columbiformes,35,358.7,volant,nonfossorial,terrestrial,diurnal
Columba_oenas,Aves,Columbiformes,12.6,291,volant,nonfossorial,terrestrial,diurnal
Columba_palumbus,Aves,Columbiformes,17.7,490,volant,nonfossorial,semiarboreal,diurnal
Geopelia_striata,Aves,Columbiformes,14,56.6,volant,nonfossorial,terrestrial,diurnal
Streptopelia_decaocto,Aves,Columbiformes,17.9,157.4,volant,nonfossorial,terrestrial,diurnal
Streptopelia_turtur,Aves,Columbiformes,13.2,132,volant,nonfossorial,terrestrial,diurnal
Alcedo_atthis,Aves,Coraciiformes,21,31.4,volant,semifossorial,aquatic,diurnal
Ceryle_rudis,Aves,Coraciiformes,3.9,84.4,volant,semifossorial,aquatic,diurnal
Chloroceryle_americana,Aves,Coraciiformes,5,34,volant,nonfossorial,aquatic,diurnal
Dacelo_novaeguineae,Aves,Coraciiformes,26.8,305,volant,nonfossorial,terrestrial,diurnal
Halcyon_smyrnensis,Aves,Coraciiformes,5.5,91.4,volant,nonfossorial,aquatic,diurnal
Coracias_benghalensis,Aves,Coraciiformes,8.9,158,volant,nonfossorial,terrestrial,cathemeral
Coracias_caudatus,Aves,Coraciiformes,13.7,108,volant,nonfossorial,terrestrial,diurnal
Coracias_garrulus,Aves,Coraciiformes,9.2,146,volant,nonfossorial,terrestrial,diurnal
Merops_apiaster,Aves,Coraciiformes,5.9,56.6,volant,semifossorial,volant,diurnal
Merops_bullockoides,Aves,Coraciiformes,7,34.8,volant,semifossorial,volant,diurnal
Todus_mexicanus,Aves,Coraciiformes,12.6,5.9,volant,nonfossorial,arboreal,diurnal
Crax_globulosa,Aves,Craciformes,20,2500,volant,nonfossorial,arboreal,diurnal
Crax_rubra,Aves,Craciformes,24,4133,volant,nonfossorial,semiarboreal,diurnal
Mitu_tuberosum,Aves,Craciformes,23,2813,volant,nonfossorial,terrestrial,diurnal
Ortalis_vetula,Aves,Craciformes,8.8,495.5,volant,nonfossorial,semiarboreal,diurnal
Alectura_lathami,Aves,Craciformes,12.5,2340,volant,nonfossorial,terrestrial,diurnal
Coccyzus_americanus,Aves,Cuculiformes,5,57.8,volant,nonfossorial,arboreal,diurnal
Coccyzus_erythropthalmus,Aves,Cuculiformes,5,37.5,volant,nonfossorial,semiarboreal,diurnal
Cuculus_canorus,Aves,Cuculiformes,12.9,111.5,volant,nonfossorial,semiarboreal,diurnal
Geococcyx_californianus,Aves,Cuculiformes,9,376,volant,nonfossorial,terrestrial,diurnal
Coccyzus_vieilloti,Aves,Cuculiformes,7.6,81.9,volant,nonfossorial,arboreal,diurnal
Falco_berigora,Aves,Falconiformes,24,593.5,volant,nonfossorial,terrestrial,cathemeral
Falco_cherrug,Aves,Falconiformes,15.9,966,volant,nonfossorial,terrestrial,diurnal
Falco_columbarius,Aves,Falconiformes,12.7,195,volant,nonfossorial,volant,diurnal
Falco_eleonorae,Aves,Falconiformes,11.2,390,volant,nonfossorial,volant,crepuscular
Falco_naumanni,Aves,Falconiformes,10.9,152.5,volant,nonfossorial,terrestrial,diurnal
Falco_peregrinus,Aves,Falconiformes,25,840,volant,nonfossorial,volant,cathemeral
Falco_rusticolus,Aves,Falconiformes,13.5,1406.5,volant,nonfossorial,terrestrial,cathemeral
Falco_sparverius,Aves,Falconiformes,17,117,volant,nonfossorial,terrestrial,diurnal
Falco_subbuteo,Aves,Falconiformes,14.9,209.5,volant,nonfossorial,volant,crepuscular
Falco_tinnunculus,Aves,Falconiformes,23.8,184,volant,nonfossorial,terrestrial,diurnal
Falco_vespertinus,Aves,Falconiformes,13.2,152.5,volant,nonfossorial,terrestrial,crepuscular
Callipepla_californica,Aves,Galliformes,9.6,138,volant,nonfossorial,terrestrial,diurnal
Callipepla_gambelii,Aves,Galliformes,7.4,166,volant,nonfossorial,terrestrial,diurnal
Colinus_virginianus,Aves,Galliformes,6.4,194,volant,nonfossorial,terrestrial,diurnal
Alectoris_rufa,Aves,Galliformes,6.2,528,volant,nonfossorial,terrestrial,diurnal
Bonasa_umbellus,Aves,Galliformes,11,532,volant,nonfossorial,terrestrial,diurnal
Centrocercus_urophasianus,Aves,Galliformes,7,1929.5,volant,nonfossorial,terrestrial,diurnal
Chrysolophus_amherstiae,Aves,Galliformes,19.6,738,volant,nonfossorial,terrestrial,diurnal
Coturnix_coturnix,Aves,Galliformes,14.6,96.5,volant,nonfossorial,terrestrial,diurnal
Coturnix_japonica,Aves,Galliformes,6,115,volant,nonfossorial,terrestrial,diurnal
Dendragapus_obscurus,Aves,Galliformes,14,1058.5,volant,nonfossorial,terrestrial,diurnal
Dendragapus_canadensis,Aves,Galliformes,13,417.3,volant,nonfossorial,terrestrial,diurnal
Francolinus_francolinus,Aves,Galliformes,7,453,volant,nonfossorial,terrestrial,diurnal
Francolinus_pondicerianus,Aves,Galliformes,8,334,volant,nonfossorial,terrestrial,diurnal
Gallus_gallus,Aves,Galliformes,30,779.8,volant,nonfossorial,terrestrial,diurnal
Lagopus_lagopus,Aves,Galliformes,9,595.875,volant,nonfossorial,terrestrial,diurnal
Lagopus_leucura,Aves,Galliformes,15,326,volant,nonfossorial,terrestrial,diurnal
Tetrao_tetrix,Aves,Galliformes,12.2,1079,volant,nonfossorial,terrestrial,diurnal
Meleagris_gallopavo,Aves,Galliformes,13,6050,volant,nonfossorial,terrestrial,diurnal
Pavo_cristatus,Aves,Galliformes,23.2,4200,volant,nonfossorial,terrestrial,diurnal
Perdix_perdix,Aves,Galliformes,5.2,492,volant,nonfossorial,terrestrial,diurnal
Phasianus_colchicus,Aves,Galliformes,27,1094.8,volant,nonfossorial,terrestrial,diurnal
Polyplectron_napoleonis,Aves,Galliformes,15,550,volant,nonfossorial,terrestrial,diurnal
Syrmaticus_reevesii,Aves,Galliformes,9.2,1239,volant,nonfossorial,terrestrial,diurnal
Tetrao_urogallus,Aves,Galliformes,18,2950,volant,nonfossorial,terrestrial,diurnal
Bonasa_bonasia,Aves,Galliformes,7.2,429,volant,nonfossorial,terrestrial,diurnal
Tympanuchus_cupido,Aves,Galliformes,5,908,volant,nonfossorial,terrestrial,diurnal
Tympanuchus_pallidicinctus,Aves,Galliformes,13.5,794.5,volant,nonfossorial,terrestrial,diurnal
Tympanuchus_phasianellus,Aves,Galliformes,7.5,908,volant,nonfossorial,terrestrial,diurnal
Grus_virgo,Aves,Gruiformes,27,2400,volant,nonfossorial,terrestrial,diurnal
Balearica_regulorum,Aves,Gruiformes,27.2,3372,volant,nonfossorial,terrestrial,diurnal
Grus_americana,Aves,Gruiformes,40,7500,volant,nonfossorial,terrestrial,diurnal
Grus_antigone,Aves,Gruiformes,41.8,8663,volant,nonfossorial,terrestrial,diurnal
Grus_canadensis,Aves,Gruiformes,36.6,3890,volant,nonfossorial,terrestrial,diurnal
Grus_grus,Aves,Gruiformes,43,5500,volant,nonfossorial,terrestrial,diurnal
Grus_japonensis,Aves,Gruiformes,25.2,8500,volant,nonfossorial,terrestrial,diurnal
Grus_leucogeranus,Aves,Gruiformes,36.2,5931,volant,nonfossorial,terrestrial,diurnal
Grus_monacha,Aves,Gruiformes,24,3700,volant,nonfossorial,terrestrial,diurnal
Grus_rubicunda,Aves,Gruiformes,33,6250.5,volant,nonfossorial,terrestrial,diurnal
Grus_vipio,Aves,Gruiformes,45,5400,volant,nonfossorial,terrestrial,diurnal
Otis_tarda,Aves,Gruiformes,28.3,7895.5,volant,nonfossorial,terrestrial,diurnal
Fulica_atra,Aves,Gruiformes,20.6,734.3,volant,nonfossorial,terrestrial,cathemeral
Gallinula_chloropus,Aves,Gruiformes,18.6,392,volant,nonfossorial,terrestrial,diurnal
Gallirallus_australis,Aves,Gruiformes,13.8,899.3,nonvolant,nonfossorial,terrestrial,cathemeral
Rallus_longirostris,Aves,Gruiformes,7.5,308,volant,nonfossorial,terrestrial,cathemeral
Tauraco_leucotis,Aves,Musophagiformes,12.4,265,volant,nonfossorial,arboreal,diurnal
Psaltriparus_minimus,Aves,Passeriformes,9.1,5.3,volant,nonfossorial,arboreal,diurnal
Alauda_arvensis,Aves,Passeriformes,10.1,37.5,volant,nonfossorial,terrestrial,crepuscular
Eremophila_alpestris,Aves,Passeriformes,8,33.5,volant,nonfossorial,terrestrial,diurnal
Galerida_cristata,Aves,Passeriformes,11.6,42.9,volant,nonfossorial,terrestrial,diurnal
Lullula_arborea,Aves,Passeriformes,6,26.9,volant,nonfossorial,terrestrial,diurnal
Bombycilla_garrulus,Aves,Passeriformes,13.5,54.5,volant,nonfossorial,arboreal,diurnal
Certhia_familiaris,Aves,Passeriformes,8.2,9.1,volant,nonfossorial,arboreal,diurnal
Polioptila_caerulea,Aves,Passeriformes,4.2,6.5,volant,nonfossorial,arboreal,diurnal
Polioptila_californica,Aves,Passeriformes,8,6,volant,nonfossorial,arboreal,diurnal
Cinclus_cinclus,Aves,Passeriformes,10.6,61.7,volant,nonfossorial,aquatic,diurnal
Corvus_corax,Aves,Passeriformes,69,1041.2,volant,nonfossorial,terrestrial,diurnal
Corvus_frugilegus,Aves,Passeriformes,22.9,453.5,volant,nonfossorial,terrestrial,diurnal
Corvus_monedula,Aves,Passeriformes,20.3,246,volant,nonfossorial,terrestrial,diurnal
Garrulus_glandarius,Aves,Passeriformes,17.9,159.7,volant,nonfossorial,arboreal,diurnal
Nucifraga_caryocatactes,Aves,Passeriformes,16.2,183,volant,nonfossorial,semiarboreal,diurnal
Perisoreus_infaustus,Aves,Passeriformes,17.9,84.4,volant,nonfossorial,semiarboreal,diurnal
Pica_pica,Aves,Passeriformes,21.7,178,volant,nonfossorial,terrestrial,diurnal
Plectrophenax_nivalis,Aves,Passeriformes,9.6,41.8,volant,nonfossorial,terrestrial,diurnal
Carduelis_cannabina,Aves,Passeriformes,9.4,19.5,volant,nonfossorial,semiarboreal,diurnal
Carduelis_chloris,Aves,Passeriformes,13.6,26,volant,nonfossorial,semiarboreal,diurnal
Carduelis_flammea,Aves,Passeriformes,12.2,14.2,volant,semifossorial,semiarboreal,diurnal
Carduelis_flavirostris,Aves,Passeriformes,6.1,15.4,volant,nonfossorial,semiarboreal,diurnal
Carduelis_hornemanni,Aves,Passeriformes,6.8,19.25,volant,nonfossorial,terrestrial,diurnal
Carduelis_psaltria,Aves,Passeriformes,5.7,9.23,volant,nonfossorial,terrestrial,diurnal
Carduelis_spinus,Aves,Passeriformes,13.5,13.2,volant,nonfossorial,semiarboreal,diurnal
Carpodacus_mexicanus,Aves,Passeriformes,11.6,21.4,volant,nonfossorial,semiarboreal,diurnal
Fringilla_coelebs,Aves,Passeriformes,29,20.7,volant,nonfossorial,semiarboreal,diurnal
Fringilla_montifringilla,Aves,Passeriformes,14.8,23.2,volant,nonfossorial,semiarboreal,diurnal
Loxia_curvirostra,Aves,Passeriformes,16.1,39.5,volant,nonfossorial,semiarboreal,diurnal
Pinicola_enucleator,Aves,Passeriformes,9.8,65.3,volant,nonfossorial,semiarboreal,diurnal
Delichon_urbicum,Aves,Passeriformes,15,14.5,volant,nonfossorial,volant,diurnal
Hirundo_daurica,Aves,Passeriformes,9,22.2,volant,nonfossorial,volant,diurnal
Hirundo_rustica,Aves,Passeriformes,16,18.3,volant,nonfossorial,volant,diurnal
Petrochelidon_fulva,Aves,Passeriformes,12.2,20.15,volant,nonfossorial,volant,diurnal
Petrochelidon_pyrrhonota,Aves,Passeriformes,11.8,23.24,volant,nonfossorial,volant,diurnal
Progne_subis,Aves,Passeriformes,13.8,45,volant,nonfossorial,volant,diurnal
Riparia_riparia,Aves,Passeriformes,10,12.7,volant,semifossorial,volant,diurnal
Stelgidopteryx_ruficollis,Aves,Passeriformes,5.9,16,volant,nonfossorial,volant,diurnal
Tachycineta_bicolor,Aves,Passeriformes,12.1,19,volant,nonfossorial,volant,diurnal
Tachycineta_thalassina,Aves,Passeriformes,9.1,14.2,volant,nonfossorial,volant,diurnal
Lanius_collurio,Aves,Passeriformes,10.1,28.4,volant,nonfossorial,terrestrial,diurnal
Lanius_excubitor,Aves,Passeriformes,12,63.5,volant,nonfossorial,terrestrial,diurnal
Lanius_ludovicianus,Aves,Passeriformes,12.5,46,volant,nonfossorial,terrestrial,diurnal
Lanius_senator,Aves,Passeriformes,5.7,36,volant,nonfossorial,terrestrial,diurnal
Anthus_cervinus,Aves,Passeriformes,4.5,20.9,volant,nonfossorial,terrestrial,diurnal
Anthus_pratensis,Aves,Passeriformes,8.8,18.4,volant,nonfossorial,terrestrial,diurnal
Anthus_spinoletta,Aves,Passeriformes,8.8,21.2,volant,nonfossorial,terrestrial,diurnal
Anthus_trivialis,Aves,Passeriformes,8.8,23.4,volant,nonfossorial,terrestrial,diurnal
Motacilla_cinerea,Aves,Passeriformes,8,17.2,volant,nonfossorial,terrestrial,diurnal
Motacilla_flava,Aves,Passeriformes,8.8,17.7,volant,nonfossorial,terrestrial,diurnal
Copsychus_malabaricus,Aves,Passeriformes,7,29.35,volant,nonfossorial,semiarboreal,crepuscular
Ficedula_albicollis,Aves,Passeriformes,9.8,12.7,volant,nonfossorial,arboreal,diurnal
Ficedula_hypoleuca,Aves,Passeriformes,15,13.9,volant,nonfossorial,semiarboreal,diurnal
Oriolus_oriolus,Aves,Passeriformes,14.8,79,volant,nonfossorial,semiarboreal,diurnal
Paradisaea_apoda,Aves,Passeriformes,12.1,172,volant,nonfossorial,arboreal,diurnal
Sericornis_frontalis,Aves,Passeriformes,17.6,13.4,volant,nonfossorial,semiarboreal,diurnal
Baeolophus_bicolor,Aves,Passeriformes,13.3,21,volant,nonfossorial,semiarboreal,diurnal
Parus_caeruleus,Aves,Passeriformes,14.6,10.3,volant,nonfossorial,arboreal,diurnal
Parus_major,Aves,Passeriformes,15.4,17.9,volant,nonfossorial,semiarboreal,diurnal
Parus_gambeli,Aves,Passeriformes,10.1,11.5,volant,nonfossorial,arboreal,diurnal
Parus_rufescens,Aves,Passeriformes,9.5,9.8,volant,nonfossorial,arboreal,diurnal
Wilsonia_canadensis,Aves,Passeriformes,8,10,volant,nonfossorial,semiarboreal,diurnal
Passer_domesticus,Aves,Passeriformes,23,25.3,volant,nonfossorial,semiarboreal,diurnal
Passer_hispaniolensis,Aves,Passeriformes,11.2,24.2,volant,nonfossorial,semiarboreal,diurnal
Petronia_petronia,Aves,Passeriformes,7,30.2,volant,nonfossorial,terrestrial,diurnal
Pycnonotus_xanthopygos,Aves,Passeriformes,8.8,38.1,volant,nonfossorial,semiarboreal,diurnal
Auriparus_flaviceps,Aves,Passeriformes,5.6,6.8,volant,nonfossorial,arboreal,diurnal
Remiz_pendulinus,Aves,Passeriformes,7,9.3,volant,nonfossorial,arboreal,diurnal
Sitta_europaea,Aves,Passeriformes,12.9,20.4,volant,nonfossorial,semiarboreal,diurnal
Acridotheres_cristatellus,Aves,Passeriformes,13,116.5,volant,nonfossorial,terrestrial,diurnal
Sturnus_vulgaris,Aves,Passeriformes,22.9,74,volant,nonfossorial,semiarboreal,diurnal
Acrocephalus_arundinaceus,Aves,Passeriformes,10.1,30,volant,nonfossorial,semiarboreal,diurnal
Acrocephalus_dumetorum,Aves,Passeriformes,7.8,11.2,volant,nonfossorial,semiarboreal,diurnal
Acrocephalus_schoenobaenus,Aves,Passeriformes,11.8,11.8,volant,nonfossorial,semiarboreal,crepuscular
Acrocephalus_scirpaceus,Aves,Passeriformes,14,12.3,volant,nonfossorial,semiarboreal,diurnal
Chamaea_fasciata,Aves,Passeriformes,12.6,14.7,volant,nonfossorial,arboreal,diurnal
